step,score
31688,-316.11
48324,-165.38
62529,-141.07
75957,-133.28
87640,-115.83
98892,-111.52
109110,-101.18
120183,-109.73
130764,-104.81
140946,-100.82
151611,-105.65
161635,-99.24
171659,-99.24
182034,-102.75
191862,-97.28
201646,-96.84
211675,-99.29
221318,-95.43
230533,-91.15
239856,-92.23
249098,-91.42
258608,-94.1
268167,-94.59
277802,-95.35
286967,-90.65
296045,-89.78
305146,-90.01
314191,-89.45
323240,-89.49
332472,-91.32
341590,-90.18
350726,-90.36
359564,-87.38
368663,-89.99
377633,-88.7
386557,-88.24
395526,-88.69
404866,-92.4
414346,-93.8
423956,-95.1
432657,-86.01
441940,-91.83
451127,-90.87
460445,-92.18
469346,-88.01
478331,-88.85
487528,-90.97
497237,-96.09
506256,-89.19
515855,-94.99
525356,-94.01
534689,-92.33
543508,-87.19
552562,-89.54
561807,-91.45
570854,-89.47
579754,-88.0
588875,-90.21
597875,-89.0
606698,-87.23
615611,-88.13
624665,-89.54
633569,-88.04
642417,-87.48
651863,-93.46
660363,-84.0
670186,-97.23
679482,-91.96
688955,-93.73
697971,-89.16
707206,-91.35
716539,-92.33
725633,-89.94
734941,-92.08
743879,-88.38
752627,-86.48
761406,-86.79
770194,-86.88
779414,-91.2
787974,-84.6
797067,-89.93
805975,-88.08
815074,-89.99
823751,-85.77
832934,-90.83
842160,-91.26
850777,-85.17
859756,-88.79
868555,-86.99
877511,-88.56
885982,-83.71
894592,-85.1
903327,-86.35
912199,-87.72
921001,-87.02
929705,-86.04
938399,-85.94
947345,-88.46
956110,-86.65
964907,-86.97
974169,-91.62
983416,-91.47
992760,-92.45
1001650,-87.9
