step,score
49582,-495.77
98907,-493.17
148225,-493.13
198191,-499.64
248079,-498.85
297960,-498.8
347662,-496.98
392427,-447.19
424215,-316.97
446744,-224.31
465528,-186.84
481306,-156.78
495358,-139.52
508583,-131.25
521005,-123.22
533699,-125.95
545856,-120.57
557032,-110.76
568887,-117.55
580231,-112.44
590967,-106.36
603022,-119.55
613470,-103.48
624378,-108.08
635714,-112.37
646128,-103.14
657035,-108.07
667418,-102.83
677709,-101.91
688052,-102.43
698703,-105.52
709269,-104.67
719489,-101.2
730531,-109.43
740414,-97.83
750632,-101.19
760669,-99.38
771085,-103.16
781061,-98.76
790791,-96.3
800993,-101.03
810425,-93.32
820623,-100.99
830311,-95.88
839412,-90.01
848453,-89.41
857963,-94.1
867682,-96.19
877483,-97.01
886544,-89.61
895669,-90.25
905044,-92.75
914637,-94.93
923732,-89.95
932410,-85.78
941973,-94.63
951138,-90.65
960673,-94.36
969810,-90.37
978548,-86.38
987297,-86.49
996358,-89.61
1005187,-87.29
