step,score
46366,-463.39
65978,-195.12
82757,-166.79
95723,-128.66
106582,-107.59
117497,-108.15
128450,-108.53
139248,-106.98
149558,-102.1
159309,-96.51
169510,-101.01
179308,-96.98
188446,-90.38
198085,-95.39
207319,-91.34
216241,-88.22
225211,-88.7
234098,-87.87
242862,-86.64
251681,-87.19
260789,-90.08
269384,-84.95
277922,-84.38
286683,-86.61
295537,-87.54
304059,-84.22
312519,-83.6
321156,-85.37
329395,-81.39
338106,-86.11
346834,-86.28
355360,-84.26
364225,-87.65
372768,-84.43
381511,-86.43
389807,-81.96
398025,-81.18
406486,-83.61
414873,-82.87
423443,-84.7
431928,-83.85
440287,-82.59
448798,-84.11
457120,-82.22
465623,-84.03
474273,-85.5
482410,-80.37
490691,-81.81
498958,-81.67
507901,-88.43
516246,-82.45
525294,-89.48
534021,-86.27
542900,-87.79
551430,-84.3
559776,-82.46
568004,-81.28
576388,-82.84
584804,-83.16
593033,-81.29
601677,-85.44
609775,-79.98
618411,-85.36
627148,-86.37
635955,-87.08
645088,-90.34
653762,-85.75
662226,-83.64
670782,-84.56
679728,-88.47
689140,-93.13
697975,-87.35
706895,-88.2
715634,-86.39
724076,-83.42
733344,-91.69
742331,-88.87
750676,-82.45
759663,-88.87
768186,-84.23
776762,-84.76
785680,-88.18
794443,-86.63
802941,-83.98
811662,-86.21
820265,-85.03
829067,-87.02
838220,-90.53
846684,-83.64
855771,-89.88
864858,-89.87
874364,-94.08
882733,-82.69
891518,-86.85
899669,-80.51
907982,-82.13
917138,-90.56
925484,-82.46
934725,-91.42
943529,-87.04
953186,-95.6
962111,-88.26
971043,-88.32
979641,-84.98
988896,-91.55
997370,-83.74
1006140,-86.7
