step,score
2214,22.14
4556,23.42
7006,24.5
9343,23.37
11958,26.15
14844,28.86
17677,28.33
21003,33.26
24455,34.52
27985,35.3
32195,42.1
36701,45.06
42437,57.36
48137,57.0
56488,83.51
68206,117.18
83086,148.8
100958,178.72
119611,186.53
138577,189.66
157915,193.38
176593,186.78
196140,195.47
214982,188.42
234429,194.47
252967,185.38
271986,190.19
291151,191.65
310804,196.53
330289,194.85
349604,193.15
368279,186.75
387994,197.15
407684,196.9
427682,199.98
446902,192.2
466654,197.52
486383,197.29
505289,189.06
523383,180.94
543010,196.27
562705,196.95
582580,198.75
602580,200.0
622580,200.0
642452,198.72
662328,198.76
682011,196.83
701888,198.77
721370,194.82
740618,192.48
760545,199.27
780452,199.07
800452,200.0
820095,196.43
839436,193.41
859409,199.73
879340,199.31
899240,199.0
918943,197.03
938904,199.61
958692,197.88
978607,199.15
998078,194.71
1017935,198.57
