step,score
2364,23.64
4733,23.69
7171,24.38
9636,24.65
12462,28.26
15321,28.59
17996,26.75
20599,26.03
23350,27.51
26546,31.96
29622,30.76
32970,33.48
36111,31.41
39691,35.8
43275,35.84
47019,37.44
50758,37.39
54678,39.2
58860,41.82
62705,38.45
66823,41.18
71375,45.52
76004,46.29
80592,45.88
85702,51.1
90619,49.17
95695,50.76
101016,53.21
106760,57.44
112563,58.03
118590,60.27
124669,60.79
131682,70.13
138823,71.41
146833,80.1
156251,94.18
166278,100.27
177712,114.34
190563,128.51
205317,147.54
220803,154.86
237330,165.27
254926,175.96
272081,171.55
290575,184.94
308514,179.39
327032,185.18
346116,190.84
365296,191.8
384215,189.19
403160,189.45
422207,190.47
441366,191.59
460679,193.13
480310,196.31
499936,196.26
519727,197.91
539528,198.01
559342,198.14
578984,196.42
598746,197.62
618542,197.96
638395,198.53
658143,197.48
677715,195.72
697519,198.04
717414,198.95
737361,199.47
757338,199.77
777149,198.11
797046,198.97
817002,199.56
836947,199.45
856859,199.12
876819,199.6
896676,198.57
916263,195.87
935603,193.4
955339,197.36
975179,198.4
995077,198.98
1015034,199.57
