step,score
2435,24.35
6049,36.14
14721,86.72
32101,173.8
51597,194.96
70861,192.64
90137,192.76
109091,189.54
128561,194.7
148334,197.73
167752,194.18
186260,185.08
206158,198.98
226020,198.62
245314,192.94
265291,199.77
284533,192.42
304126,195.93
323985,198.59
342912,189.27
361731,188.19
381423,196.92
401247,198.24
420563,193.16
440121,195.58
459616,194.95
478784,191.68
498040,192.56
517858,198.18
537776,199.18
557767,199.91
577316,195.49
595544,182.28
615190,196.46
634690,195.0
654690,200.0
674466,197.76
694062,195.96
713985,199.23
733985,200.0
753985,200.0
773985,200.0
793939,199.54
813903,199.64
833790,198.87
853636,198.46
873557,199.21
893028,194.71
912958,199.3
932869,199.11
952861,199.92
972861,200.0
992861,200.0
1012761,199.0
