step,score
8713,-216.34984641659125
17190,-233.0786018227154
25814,-196.96237241161728
34559,-191.87423163362203
43087,-174.84740413069719
52134,-156.85765104348678
61391,-169.91192197055113
71361,-156.2759472886649
81674,-154.79855158272764
93089,-139.11443289831624
106690,-135.75100064898513
126841,-106.33662278785847
155863,-73.05808142995473
189437,-48.04036006074258
226294,-8.106391814648449
263005,-1.9545847860113792
307903,14.758943661014479
347804,36.246714697807185
386980,43.223886744961895
431481,73.2743637792933
476750,84.7162021193422
523779,80.73891741752495
568608,82.48034812152778
607534,65.0661893779981
656320,86.77815733531368
696757,72.57640200132526
740027,80.48421966195305
783953,84.60642360501183
824982,76.3659423024351
868119,79.72789805576694
916249,94.17477034699056
962539,99.16617803700088
1007753,92.31089028836912
