step,score
9270,-203.62099196120158
18843,-232.95629132673406
28630,-212.3552665006248
38065,-220.302277385386
47433,-203.79880634779886
56715,-202.41974791806263
66287,-200.38978145008892
75886,-192.406135765996
85717,-197.50847407689474
95154,-189.58700215922468
104847,-195.23144492620872
114659,-193.3742999862557
124330,-177.35459210515143
135241,-172.0870728884089
144928,-167.9254066475729
155103,-175.92368051023627
165745,-176.22631069549982
176183,-171.82371135276514
186938,-166.3897925462796
197843,-161.5653289991328
208850,-166.66676300323746
219422,-136.91548357269943
230593,-146.26468422666338
242460,-151.75560163555164
253786,-138.46416742891185
265367,-147.2031570373278
277681,-138.33639280572626
290816,-130.5457417657718
306358,-132.58802681336596
323028,-150.13923705822242
342615,-147.72246882964598
362907,-153.78971564214373
386234,-147.82610169810118
405031,-106.08154101754548
422508,-96.58664674089168
446098,-84.91576302342266
471758,-94.00551673714179
500011,-81.84393789348832
529300,-81.80370661920725
563508,-72.78971722217784
604337,-71.28871835059142
641870,-37.10777770228211
684484,-23.784248131010678
724175,-25.104612099513975
769824,-9.457862365164987
811778,-9.915439197566231
855859,-1.7692264943633236
902700,8.548466112167748
948697,13.491684329569802
994762,13.70856216423204
1040797,11.221845957965733
